trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,19.3794210999622,19.3794210999622,0.030734899977687746,[0.16296296296296298],[0.2851851851851852],[1],[0],[0],[1.5653944999794476],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
1,0,1,0,5,20.949576999992132,20.949576999992132,0.016577100032009184,[-0.3296296296296296],[-0.008333333333333333],[1],[0],[0],[1.5424276000121608],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
2,0,2,0,10,22.52158929995494,22.52158929995494,0.0220164000056684,[-0.45185185185185184],[0.28703703703703703],[1],[0],[0],[1.8220474000554532],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
3,0,3,0,5,24.354642899997998,24.354642899997998,0.011406500008888543,[0.11018518518518519],[0.21574074074074073],[1],[0],[0],[1.5523465999867767],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
4,0,4,0,5,25.931461000000127,25.931461000000127,0.014765900035854429,[-0.17777777777777778],[-0.3490740740740741],[1],[0],[0],[2.295336000039242],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
5,0,5,0,5,28.239155199960805,28.239155199960805,0.012746699969284236,[0.020370370370370372],[0.13148148148148148],[1],[0],[0],[1.4507726000156254],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
6,0,6,0,10,29.72460699995281,29.72460699995281,0.023473599983844906,[-0.20277777777777778],[0.05092592592592592],[1],[0],[0],[1.6194381999666803],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
7,0,7,0,10,31.368314999970607,31.368314999970607,0.02159580000443384,[0.4888888888888889],[0.075],[1],[0],[0],[2.175246500002686],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
8,0,8,0,5,33.55462379998062,33.55462379998062,0.011625199986156076,[-0.1925925925925926],[0.45185185185185184],[1],[0],[0],[2.1187174000078812],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
9,0,9,0,5,35.69857959996443,35.69857959996443,0.018775400007143617,[0.24722222222222223],[-0.02962962962962963],[1],[0],[0],[1.5578241999610327],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
