2.8728 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.8607 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.5958 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C693949CD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C6974CCF40>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.5960 	EXP 	window1: mouseVisible = True
12.5961 	EXP 	window1: mouseVisible = False
12.5961 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.5962 	EXP 	window1: recordFrameIntervals = False
12.7616 	EXP 	window1: recordFrameIntervals = True
12.9454 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
12.9455 	EXP 	window1: recordFrameIntervals = False
16.6065 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
16.6206 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
16.6318 	EXP 	Imported C:/Users/Yashi/Desktop/Lab in Psychology/conditions.xlsx as conditions, 1 conditions, 5 params
16.9645 	EXP 	window1: recordFrameIntervals = False
16.9665 	EXP 	window1: recordFrameIntervals = False
17.9799 	EXP 	fixation: autoDraw = True
18.6681 	EXP 	grating: autoDraw = True
18.6681 	EXP 	grating: tex = 'sin'
18.9772 	EXP 	grating: autoDraw = False
18.9938 	EXP 	fixation: autoDraw = False
19.4122 	EXP 	window1: recordFrameIntervals = False
19.4139 	DATA 	Keypress: right
19.4270 	EXP 	fixation: autoDraw = False
19.4270 	EXP 	grating: autoDraw = False
19.4272 	EXP 	window1: recordFrameIntervals = False
20.4007 	EXP 	fixation: autoDraw = True
21.4102 	EXP 	fixation: autoDraw = False
21.4270 	EXP 	grating: autoDraw = True
21.4270 	EXP 	grating: tex = 'sin'
21.7268 	EXP 	grating: autoDraw = False
22.0283 	EXP 	window1: recordFrameIntervals = False
22.0291 	DATA 	Keypress: right
22.0433 	EXP 	fixation: autoDraw = False
22.0433 	EXP 	grating: autoDraw = False
22.0435 	EXP 	window1: recordFrameIntervals = False
23.0175 	EXP 	fixation: autoDraw = True
24.0265 	EXP 	fixation: autoDraw = False
24.0433 	EXP 	grating: autoDraw = True
24.0433 	EXP 	grating: tex = 'sin'
24.3431 	EXP 	grating: autoDraw = False
24.4282 	EXP 	window1: recordFrameIntervals = False
24.4290 	DATA 	Keypress: left
24.4430 	EXP 	fixation: autoDraw = False
24.4430 	EXP 	grating: autoDraw = False
24.4432 	EXP 	window1: recordFrameIntervals = False
25.4163 	EXP 	fixation: autoDraw = True
26.4262 	EXP 	fixation: autoDraw = False
26.4431 	EXP 	grating: autoDraw = True
26.4431 	EXP 	grating: tex = 'sin'
26.7429 	EXP 	grating: autoDraw = False
27.0780 	DATA 	Keypress: left
27.0944 	EXP 	window1: recordFrameIntervals = False
27.1096 	EXP 	fixation: autoDraw = False
27.1096 	EXP 	grating: autoDraw = False
27.1097 	EXP 	window1: recordFrameIntervals = False
28.0835 	EXP 	fixation: autoDraw = True
29.0924 	EXP 	fixation: autoDraw = False
29.1092 	EXP 	grating: autoDraw = True
29.1092 	EXP 	grating: tex = 'sin'
29.4091 	EXP 	grating: autoDraw = False
29.5942 	EXP 	window1: recordFrameIntervals = False
29.5949 	DATA 	Keypress: right
29.6091 	EXP 	fixation: autoDraw = False
29.6091 	EXP 	grating: autoDraw = False
29.6092 	EXP 	window1: recordFrameIntervals = False
30.5819 	EXP 	fixation: autoDraw = True
31.5922 	EXP 	fixation: autoDraw = False
31.6090 	EXP 	grating: autoDraw = True
31.6090 	EXP 	grating: tex = 'sin'
31.9090 	EXP 	grating: autoDraw = False
32.1605 	EXP 	window1: recordFrameIntervals = False
32.1615 	DATA 	Keypress: right
32.1755 	EXP 	fixation: autoDraw = False
32.1755 	EXP 	grating: autoDraw = False
32.1757 	EXP 	window1: recordFrameIntervals = False
33.1489 	EXP 	fixation: autoDraw = True
34.1586 	EXP 	fixation: autoDraw = False
34.1752 	EXP 	grating: autoDraw = True
34.1752 	EXP 	grating: tex = 'sin'
34.4751 	EXP 	grating: autoDraw = False
34.7603 	EXP 	window1: recordFrameIntervals = False
34.7612 	DATA 	Keypress: right
34.7751 	EXP 	fixation: autoDraw = False
34.7751 	EXP 	grating: autoDraw = False
34.7752 	EXP 	window1: recordFrameIntervals = False
35.7482 	EXP 	fixation: autoDraw = True
36.7583 	EXP 	fixation: autoDraw = False
36.7750 	EXP 	grating: autoDraw = True
36.7750 	EXP 	grating: tex = 'sin'
37.0749 	EXP 	grating: autoDraw = False
37.2602 	EXP 	window1: recordFrameIntervals = False
37.2610 	DATA 	Keypress: right
37.2749 	EXP 	fixation: autoDraw = False
37.2749 	EXP 	grating: autoDraw = False
37.2751 	EXP 	window1: recordFrameIntervals = False
38.2485 	EXP 	fixation: autoDraw = True
39.2580 	EXP 	fixation: autoDraw = False
39.2748 	EXP 	grating: autoDraw = True
39.2748 	EXP 	grating: tex = 'sin'
39.5744 	EXP 	grating: autoDraw = False
39.7262 	EXP 	window1: recordFrameIntervals = False
39.7271 	DATA 	Keypress: right
39.7411 	EXP 	fixation: autoDraw = False
39.7411 	EXP 	grating: autoDraw = False
39.7413 	EXP 	window1: recordFrameIntervals = False
40.7154 	EXP 	fixation: autoDraw = True
41.7242 	EXP 	fixation: autoDraw = False
41.7413 	EXP 	grating: autoDraw = True
41.7413 	EXP 	grating: tex = 'sin'
42.0411 	EXP 	grating: autoDraw = False
42.1927 	EXP 	window1: recordFrameIntervals = False
42.1936 	DATA 	Keypress: right
42.2075 	EXP 	fixation: autoDraw = False
42.2075 	EXP 	grating: autoDraw = False
42.2077 	EXP 	window1: recordFrameIntervals = False
43.1814 	EXP 	fixation: autoDraw = True
44.1908 	EXP 	fixation: autoDraw = False
44.2074 	EXP 	grating: autoDraw = True
44.2074 	EXP 	grating: tex = 'sin'
44.5072 	EXP 	grating: autoDraw = False
44.6760 	EXP 	window1: recordFrameIntervals = False
44.6769 	DATA 	Keypress: right
44.6907 	EXP 	fixation: autoDraw = False
44.6907 	EXP 	grating: autoDraw = False
44.6908 	EXP 	window1: recordFrameIntervals = False
45.6644 	EXP 	fixation: autoDraw = True
46.6736 	EXP 	fixation: autoDraw = False
46.6903 	EXP 	grating: autoDraw = True
46.6903 	EXP 	grating: tex = 'sin'
46.9902 	EXP 	grating: autoDraw = False
47.0757 	EXP 	window1: recordFrameIntervals = False
47.0768 	DATA 	Keypress: right
47.0902 	EXP 	fixation: autoDraw = False
47.0902 	EXP 	grating: autoDraw = False
47.0903 	EXP 	window1: recordFrameIntervals = False
48.0638 	EXP 	fixation: autoDraw = True
49.0734 	EXP 	fixation: autoDraw = False
49.0902 	EXP 	grating: autoDraw = True
49.0902 	EXP 	grating: tex = 'sin'
49.3899 	EXP 	grating: autoDraw = False
49.5749 	EXP 	window1: recordFrameIntervals = False
49.5756 	DATA 	Keypress: right
49.5899 	EXP 	fixation: autoDraw = False
49.5899 	EXP 	grating: autoDraw = False
49.5900 	EXP 	window1: recordFrameIntervals = False
50.5637 	EXP 	fixation: autoDraw = True
51.5729 	EXP 	fixation: autoDraw = False
51.5897 	EXP 	grating: autoDraw = True
51.5897 	EXP 	grating: tex = 'sin'
51.8896 	EXP 	grating: autoDraw = False
52.0578 	EXP 	window1: recordFrameIntervals = False
52.0588 	DATA 	Keypress: left
52.0730 	EXP 	fixation: autoDraw = False
52.0730 	EXP 	grating: autoDraw = False
52.0731 	EXP 	window1: recordFrameIntervals = False
53.0459 	EXP 	fixation: autoDraw = True
54.0558 	EXP 	fixation: autoDraw = False
54.0727 	EXP 	grating: autoDraw = True
54.0727 	EXP 	grating: tex = 'sin'
54.3726 	EXP 	grating: autoDraw = False
54.4575 	EXP 	window1: recordFrameIntervals = False
54.4585 	DATA 	Keypress: left
54.4727 	EXP 	fixation: autoDraw = False
54.4727 	EXP 	grating: autoDraw = False
54.4728 	EXP 	window1: recordFrameIntervals = False
55.4457 	EXP 	fixation: autoDraw = True
56.4558 	EXP 	fixation: autoDraw = False
56.4724 	EXP 	grating: autoDraw = True
56.4724 	EXP 	grating: tex = 'sin'
56.7721 	EXP 	grating: autoDraw = False
56.9404 	EXP 	window1: recordFrameIntervals = False
56.9410 	DATA 	Keypress: left
56.9556 	EXP 	fixation: autoDraw = False
56.9556 	EXP 	grating: autoDraw = False
56.9557 	EXP 	window1: recordFrameIntervals = False
57.9287 	EXP 	fixation: autoDraw = True
58.9389 	EXP 	fixation: autoDraw = False
58.9555 	EXP 	grating: autoDraw = True
58.9555 	EXP 	grating: tex = 'sin'
59.2552 	EXP 	grating: autoDraw = False
59.2905 	EXP 	window1: recordFrameIntervals = False
59.2914 	DATA 	Keypress: right
59.3053 	EXP 	fixation: autoDraw = False
59.3053 	EXP 	grating: autoDraw = False
59.3056 	EXP 	window1: recordFrameIntervals = False
60.2793 	EXP 	fixation: autoDraw = True
61.2884 	EXP 	fixation: autoDraw = False
61.3053 	EXP 	grating: autoDraw = True
61.3053 	EXP 	grating: tex = 'sin'
61.6051 	EXP 	grating: autoDraw = False
61.7065 	EXP 	window1: recordFrameIntervals = False
61.7073 	DATA 	Keypress: right
61.7216 	EXP 	fixation: autoDraw = False
61.7216 	EXP 	grating: autoDraw = False
61.7218 	EXP 	window1: recordFrameIntervals = False
62.6959 	EXP 	fixation: autoDraw = True
63.7047 	EXP 	fixation: autoDraw = False
63.7216 	EXP 	grating: autoDraw = True
63.7216 	EXP 	grating: tex = 'sin'
64.0215 	EXP 	grating: autoDraw = False
64.1565 	EXP 	window1: recordFrameIntervals = False
64.1572 	DATA 	Keypress: right
64.1713 	EXP 	fixation: autoDraw = False
64.1713 	EXP 	grating: autoDraw = False
64.1715 	EXP 	window1: recordFrameIntervals = False
65.1458 	EXP 	fixation: autoDraw = True
66.1544 	EXP 	fixation: autoDraw = False
66.1715 	EXP 	grating: autoDraw = True
66.1715 	EXP 	grating: tex = 'sin'
66.4710 	EXP 	grating: autoDraw = False
66.5897 	EXP 	window1: recordFrameIntervals = False
66.5905 	DATA 	Keypress: right
66.6043 	EXP 	fixation: autoDraw = False
66.6043 	EXP 	grating: autoDraw = False
66.6045 	EXP 	window1: recordFrameIntervals = False
67.5777 	EXP 	fixation: autoDraw = True
68.5874 	EXP 	fixation: autoDraw = False
68.6042 	EXP 	grating: autoDraw = True
68.6042 	EXP 	grating: tex = 'sin'
68.9040 	EXP 	grating: autoDraw = False
68.9892 	EXP 	window1: recordFrameIntervals = False
68.9900 	DATA 	Keypress: right
69.0041 	EXP 	fixation: autoDraw = False
69.0041 	EXP 	grating: autoDraw = False
69.0042 	EXP 	window1: recordFrameIntervals = False
69.9787 	EXP 	fixation: autoDraw = True
70.9873 	EXP 	fixation: autoDraw = False
71.0039 	EXP 	grating: autoDraw = True
71.0039 	EXP 	grating: tex = 'sin'
71.3039 	EXP 	grating: autoDraw = False
71.3391 	EXP 	window1: recordFrameIntervals = False
71.3399 	DATA 	Keypress: right
71.3540 	EXP 	fixation: autoDraw = False
71.3540 	EXP 	grating: autoDraw = False
71.3541 	EXP 	window1: recordFrameIntervals = False
72.3273 	EXP 	fixation: autoDraw = True
73.3367 	EXP 	fixation: autoDraw = False
73.3534 	EXP 	grating: autoDraw = True
73.3534 	EXP 	grating: tex = 'sin'
73.6535 	EXP 	grating: autoDraw = False
73.7216 	EXP 	window1: recordFrameIntervals = False
73.7224 	DATA 	Keypress: left
73.7368 	EXP 	fixation: autoDraw = False
73.7368 	EXP 	grating: autoDraw = False
73.7369 	EXP 	window1: recordFrameIntervals = False
74.7104 	EXP 	fixation: autoDraw = True
75.7200 	EXP 	fixation: autoDraw = False
75.7365 	EXP 	grating: autoDraw = True
