4.5979 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.2046 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.1254 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029F54BECD60>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000029F5A240DF0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.1256 	EXP 	window1: mouseVisible = True
13.1257 	EXP 	window1: mouseVisible = False
13.1257 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.1258 	EXP 	window1: recordFrameIntervals = False
13.2911 	EXP 	window1: recordFrameIntervals = True
13.4749 	EXP 	Screen (0) actual frame rate measured at 59.95Hz
13.4750 	EXP 	window1: recordFrameIntervals = False
18.2828 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
18.2964 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
18.2985 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
18.2990 	EXP 	New trial (rep=0, index=0): None
18.3146 	EXP 	grating: ori = 4.0
18.3146 	EXP 	fixation: autoDraw = True
19.3518 	EXP 	grating: autoDraw = True
19.3518 	EXP 	grating: tex = 'sin'
19.3549 	EXP 	fixation: autoDraw = False
19.6566 	EXP 	grating: autoDraw = False
19.9761 	EXP 	New trial (rep=1, index=0): None
19.9780 	DATA 	Keypress: down
19.9899 	EXP 	fixation: autoDraw = False
19.9899 	EXP 	grating: autoDraw = False
19.9899 	EXP 	grating: ori = 2.0
19.9899 	EXP 	fixation: autoDraw = True
20.9898 	EXP 	fixation: autoDraw = False
20.9898 	EXP 	grating: autoDraw = True
21.2900 	EXP 	grating: autoDraw = False
21.5943 	EXP 	New trial (rep=2, index=0): None
21.5971 	DATA 	Keypress: up
21.6066 	EXP 	fixation: autoDraw = False
21.6066 	EXP 	grating: autoDraw = False
21.6066 	EXP 	grating: ori = 3.0
21.6066 	EXP 	fixation: autoDraw = True
22.6065 	EXP 	fixation: autoDraw = False
22.6065 	EXP 	grating: autoDraw = True
22.9062 	EXP 	grating: autoDraw = False
23.1273 	EXP 	New trial (rep=3, index=0): None
23.1297 	DATA 	Keypress: down
23.1398 	EXP 	fixation: autoDraw = False
23.1398 	EXP 	grating: autoDraw = False
23.1398 	EXP 	grating: ori = 4.0
23.1398 	EXP 	fixation: autoDraw = True
24.1396 	EXP 	fixation: autoDraw = False
24.1396 	EXP 	grating: autoDraw = True
24.4396 	EXP 	grating: autoDraw = False
24.7250 	DATA 	Keypress: down
24.7442 	EXP 	New trial (rep=4, index=0): None
24.7562 	EXP 	fixation: autoDraw = False
24.7562 	EXP 	grating: autoDraw = False
24.7562 	EXP 	grating: ori = -5.0
24.7562 	EXP 	fixation: autoDraw = True
25.7561 	EXP 	fixation: autoDraw = False
25.7561 	EXP 	grating: autoDraw = True
26.0559 	EXP 	grating: autoDraw = False
26.2100 	EXP 	New trial (rep=5, index=0): None
26.2127 	DATA 	Keypress: down
26.2228 	EXP 	fixation: autoDraw = False
26.2228 	EXP 	grating: autoDraw = False
26.2228 	EXP 	grating: ori = 0.0
26.2228 	EXP 	fixation: autoDraw = True
27.2227 	EXP 	fixation: autoDraw = False
27.2227 	EXP 	grating: autoDraw = True
27.5225 	EXP 	grating: autoDraw = False
27.6937 	EXP 	New trial (rep=6, index=0): None
27.6962 	DATA 	Keypress: up
27.7057 	EXP 	fixation: autoDraw = False
27.7057 	EXP 	grating: autoDraw = False
27.7057 	EXP 	grating: ori = -4.0
27.7057 	EXP 	fixation: autoDraw = True
28.7057 	EXP 	fixation: autoDraw = False
28.7057 	EXP 	grating: autoDraw = True
29.0054 	EXP 	grating: autoDraw = False
29.1600 	EXP 	New trial (rep=7, index=0): None
29.1625 	DATA 	Keypress: down
29.1724 	EXP 	fixation: autoDraw = False
29.1724 	EXP 	grating: autoDraw = False
29.1724 	EXP 	grating: ori = -1.0
29.1724 	EXP 	fixation: autoDraw = True
30.1723 	EXP 	fixation: autoDraw = False
30.1723 	EXP 	grating: autoDraw = True
30.4723 	EXP 	grating: autoDraw = False
30.5932 	EXP 	New trial (rep=8, index=0): None
30.5960 	DATA 	Keypress: down
30.6053 	EXP 	fixation: autoDraw = False
30.6053 	EXP 	grating: autoDraw = False
30.6053 	EXP 	grating: ori = 3.0
30.6053 	EXP 	fixation: autoDraw = True
31.6051 	EXP 	fixation: autoDraw = False
31.6051 	EXP 	grating: autoDraw = True
31.9052 	EXP 	grating: autoDraw = False
32.0098 	EXP 	New trial (rep=9, index=0): None
32.0125 	DATA 	Keypress: down
32.0221 	EXP 	fixation: autoDraw = False
32.0221 	EXP 	grating: autoDraw = False
32.0221 	EXP 	grating: ori = -3.0
32.0221 	EXP 	fixation: autoDraw = True
33.0218 	EXP 	fixation: autoDraw = False
33.0218 	EXP 	grating: autoDraw = True
33.3217 	EXP 	grating: autoDraw = False
33.4259 	EXP 	New trial (rep=10, index=0): None
33.4286 	DATA 	Keypress: down
33.4384 	EXP 	fixation: autoDraw = False
33.4384 	EXP 	grating: autoDraw = False
33.4384 	EXP 	grating: ori = 0.0
33.4384 	EXP 	fixation: autoDraw = True
34.4384 	EXP 	fixation: autoDraw = False
34.4384 	EXP 	grating: autoDraw = True
34.7382 	EXP 	grating: autoDraw = False
34.8614 	EXP 	New trial (rep=11, index=0): None
34.8646 	DATA 	Keypress: down
34.8716 	EXP 	fixation: autoDraw = False
34.8716 	EXP 	grating: autoDraw = False
34.8716 	EXP 	grating: ori = 0.0
34.8716 	EXP 	fixation: autoDraw = True
35.8715 	EXP 	fixation: autoDraw = False
35.8715 	EXP 	grating: autoDraw = True
36.1714 	EXP 	grating: autoDraw = False
36.3943 	EXP 	New trial (rep=12, index=0): None
36.3971 	DATA 	Keypress: up
36.4045 	EXP 	fixation: autoDraw = False
36.4045 	EXP 	grating: autoDraw = False
36.4045 	EXP 	grating: ori = 0.0
36.4045 	EXP 	fixation: autoDraw = True
37.4046 	EXP 	fixation: autoDraw = False
37.4046 	EXP 	grating: autoDraw = True
37.7045 	EXP 	grating: autoDraw = False
37.9569 	DATA 	Keypress: up
37.9758 	EXP 	New trial (rep=13, index=0): None
37.9879 	EXP 	fixation: autoDraw = False
37.9879 	EXP 	grating: autoDraw = False
37.9879 	EXP 	grating: ori = 0.0
37.9879 	EXP 	fixation: autoDraw = True
38.9877 	EXP 	fixation: autoDraw = False
38.9877 	EXP 	grating: autoDraw = True
39.2877 	EXP 	grating: autoDraw = False
39.5251 	EXP 	New trial (rep=14, index=0): None
39.5277 	DATA 	Keypress: down
39.5377 	EXP 	fixation: autoDraw = False
39.5377 	EXP 	grating: autoDraw = False
39.5377 	EXP 	grating: ori = 1.0
39.5377 	EXP 	fixation: autoDraw = True
40.5376 	EXP 	fixation: autoDraw = False
40.5376 	EXP 	grating: autoDraw = True
40.8375 	EXP 	grating: autoDraw = False
41.1421 	EXP 	New trial (rep=15, index=0): None
41.1449 	DATA 	Keypress: up
41.1541 	EXP 	fixation: autoDraw = False
41.1541 	EXP 	grating: autoDraw = False
41.1541 	EXP 	grating: ori = 0.0
41.1541 	EXP 	fixation: autoDraw = True
42.1540 	EXP 	fixation: autoDraw = False
42.1540 	EXP 	grating: autoDraw = True
42.4539 	EXP 	grating: autoDraw = False
42.6085 	EXP 	New trial (rep=16, index=0): None
42.6113 	DATA 	Keypress: up
42.6206 	EXP 	fixation: autoDraw = False
42.6206 	EXP 	grating: autoDraw = False
42.6206 	EXP 	grating: ori = 0.0
42.6206 	EXP 	fixation: autoDraw = True
43.6206 	EXP 	fixation: autoDraw = False
43.6206 	EXP 	grating: autoDraw = True
43.9205 	EXP 	grating: autoDraw = False
44.0751 	EXP 	New trial (rep=17, index=0): None
44.0777 	DATA 	Keypress: up
44.0872 	EXP 	fixation: autoDraw = False
44.0872 	EXP 	grating: autoDraw = False
44.0872 	EXP 	grating: ori = -4.0
44.0872 	EXP 	fixation: autoDraw = True
45.0870 	EXP 	fixation: autoDraw = False
45.0870 	EXP 	grating: autoDraw = True
45.3870 	EXP 	grating: autoDraw = False
45.4912 	EXP 	New trial (rep=18, index=0): None
45.4938 	DATA 	Keypress: down
45.5035 	EXP 	fixation: autoDraw = False
45.5035 	EXP 	grating: autoDraw = False
45.5035 	EXP 	grating: ori = 0.0
45.5035 	EXP 	fixation: autoDraw = True
46.5034 	EXP 	fixation: autoDraw = False
46.5034 	EXP 	grating: autoDraw = True
46.8032 	EXP 	grating: autoDraw = False
46.9743 	EXP 	New trial (rep=19, index=0): None
46.9769 	DATA 	Keypress: up
46.9866 	EXP 	fixation: autoDraw = False
46.9866 	EXP 	grating: autoDraw = False
46.9866 	EXP 	grating: ori = 0.0
46.9866 	EXP 	fixation: autoDraw = True
47.9866 	EXP 	fixation: autoDraw = False
47.9866 	EXP 	grating: autoDraw = True
48.2864 	EXP 	grating: autoDraw = False
48.5076 	EXP 	New trial (rep=20, index=0): None
48.5103 	DATA 	Keypress: down
48.5199 	EXP 	fixation: autoDraw = False
48.5199 	EXP 	grating: autoDraw = False
48.5199 	EXP 	grating: ori = -5.0
48.5199 	EXP 	fixation: autoDraw = True
49.5198 	EXP 	fixation: autoDraw = False
49.5198 	EXP 	grating: autoDraw = True
49.8196 	EXP 	grating: autoDraw = False
49.9740 	EXP 	New trial (rep=21, index=0): None
49.9767 	DATA 	Keypress: down
49.9863 	EXP 	fixation: autoDraw = False
49.9863 	EXP 	grating: autoDraw = False
49.9863 	EXP 	grating: ori = 4.0
49.9863 	EXP 	fixation: autoDraw = True
50.9862 	EXP 	fixation: autoDraw = False
50.9862 	EXP 	grating: autoDraw = True
51.2861 	EXP 	grating: autoDraw = False
51.5404 	EXP 	New trial (rep=22, index=0): None
51.5429 	DATA 	Keypress: down
51.5525 	EXP 	fixation: autoDraw = False
51.5525 	EXP 	grating: autoDraw = False
51.5525 	EXP 	grating: ori = 0.0
51.5525 	EXP 	fixation: autoDraw = True
52.5526 	EXP 	fixation: autoDraw = False
52.5526 	EXP 	grating: autoDraw = True
52.8525 	EXP 	grating: autoDraw = False
53.1070 	EXP 	New trial (rep=23, index=0): None
53.1096 	DATA 	Keypress: up
53.1193 	EXP 	fixation: autoDraw = False
53.1193 	EXP 	grating: autoDraw = False
53.1193 	EXP 	grating: ori = 1.0
53.1193 	EXP 	fixation: autoDraw = True
54.1191 	EXP 	fixation: autoDraw = False
54.1191 	EXP 	grating: autoDraw = True
54.4190 	EXP 	grating: autoDraw = False
54.5711 	DATA 	Keypress: up
54.5901 	EXP 	New trial (rep=24, index=0): None
54.6024 	EXP 	fixation: autoDraw = False
54.6024 	EXP 	grating: autoDraw = False
54.6024 	EXP 	grating: ori = -4.0
54.6024 	EXP 	fixation: autoDraw = True
55.6022 	EXP 	fixation: autoDraw = False
55.6022 	EXP 	grating: autoDraw = True
55.9021 	EXP 	grating: autoDraw = False
56.1736 	EXP 	New trial (rep=25, index=0): None
56.1764 	DATA 	Keypress: down
56.1856 	EXP 	fixation: autoDraw = False
56.1856 	EXP 	grating: autoDraw = False
56.1856 	EXP 	grating: ori = -4.0
56.1856 	EXP 	fixation: autoDraw = True
57.1854 	EXP 	fixation: autoDraw = False
57.1854 	EXP 	grating: autoDraw = True
57.4854 	EXP 	grating: autoDraw = False
57.6400 	EXP 	New trial (rep=26, index=0): None
57.6428 	DATA 	Keypress: down
57.6520 	EXP 	fixation: autoDraw = False
57.6520 	EXP 	grating: autoDraw = False
57.6520 	EXP 	grating: ori = 0.0
57.6520 	EXP 	fixation: autoDraw = True
58.6518 	EXP 	fixation: autoDraw = False
58.6518 	EXP 	grating: autoDraw = True
58.9518 	EXP 	grating: autoDraw = False
59.1064 	EXP 	New trial (rep=27, index=0): None
59.1090 	DATA 	Keypress: up
59.1185 	EXP 	fixation: autoDraw = False
59.1185 	EXP 	grating: autoDraw = False
