study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
glass,,0,0,0,7,,,,,15.07547660000273,15.07547660000273,1.0148148148148148,4.298072099991259,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
girl,,0,1,1,5,,,,,19.357407300005434,19.357407300005434,1.0148148148148148,1.2160768999892753,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
door,,0,2,2,11,,,,,20.59812840000086,20.59812840000086,1.0148148148148148,1.078439899996738,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
teddy,,0,3,3,10,,,,,21.698039299997617,21.698039299997617,1.0148148148148148,1.1612680999969598,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
fan,,0,4,4,9,,,,,22.881249500002014,22.881249500002014,1.0148148148148148,1.1278916999872308,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
cushion,,0,5,5,3,,,,,24.030969300001743,24.030969300001743,1.0148148148148148,1.16159940000216,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
book,,0,6,6,2,,,,,25.21424630000547,25.21424630000547,1.0148148148148148,1.1966528000048129,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
window,,0,7,7,12,,,,,26.43070080000325,26.43070080000325,1.0148148148148148,1.1779929999902379,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
frame,,0,8,8,14,,,,,27.630707000003895,27.630707000003895,1.0148148148148148,1.1800114999932703,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
bottle,,0,9,9,6,,,,,28.830504700003075,28.830504700003075,1.0148148148148148,1.2467524999956368,,,,,,,,,,,,,846059,001,2022-10-20_15h13.29.015,word priming experiment,2022.2.2,60.00132002512176,
